lng,lat,order_id,depot_lat,depot_lng,dlvr_seq_num
126.55716,43.81811,2349221.0,43.8121,126.5669,10
126.54845,43.82043,1720666.0,43.8121,126.5669,2
126.56893,43.81414,935442.0,43.8121,126.5669,9
126.57,43.81954,2119726.0,43.8121,126.5669,8
126.56574,43.82126,1898768.0,43.8121,126.5669,5
126.53659,43.80667,2977295.0,43.8121,126.5669,1
126.55001,43.82377,98750.0,43.8121,126.5669,3
126.56403,43.82447,1967889.0,43.8121,126.5669,4
126.57915,43.82581,512980.0,43.8121,126.5669,7
126.56808,43.82254,1163945.0,43.8121,126.5669,6
